n0,n1,n2,n3,n4,n5,n6,monte_carlo,monte_carlo_max_hop,two_hop
3792,5023,3058,2188,1134,1524,7098,7.75,7.53,7.379347235137728
5543,52,2771,4118,3798,4953,662,10.78,9.58,9.539554467337915
2736,4540,5051,5735,335,5965,3104,7.56,7.58,7.450776590578073
1387,5762,3702,5939,3461,1287,1379,19.65,13.17,14.180802545744251
1949,420,908,1084,4147,4836,518,8.12,7.74,7.9018957622398425
6342,5639,3142,6468,6112,832,2385,7.08,7.17,7.106931723293401
1679,5523,1837,5944,6496,3455,718,9.51,8.85,8.876511868702291
6328,2185,1719,3248,2303,2798,6631,13.73,12.1,12.498970077522042
353,1634,5806,43,3368,448,3103,17.7,14.28,13.752307079428855
6928,4028,1139,192,1939,3479,6031,7.85,7.5,7.536899866014726
6969,917,4889,31,993,6261,4740,35.8,25.26,24.850115278490097
1619,6981,1663,2705,67,684,1091,15.92,13.23,12.687851984160904
4421,143,4102,694,4693,4069,4403,12.84,11.5,11.567246325444039
1623,3441,563,3261,1574,5232,6266,8.19,7.92,7.94611146802571
765,5741,4749,1190,1413,4988,5895,8.21,7.76,7.985827626254155
337,443,2211,4547,5596,4967,6979,9.66,8.75,8.784643144814382
1223,6104,2198,6036,4712,280,993,9.28,9.2,9.40308288318967
5779,3296,1939,1324,5006,4136,352,10.06,9.39,9.449547844998444
6029,2997,6927,5522,4276,4835,4630,7.54,7.47,7.294577806550786
6345,5633,710,7105,2844,900,7078,11.98,8.65,9.158650524010929
4785,2994,3697,1720,3294,1628,4705,8.99,7.9,8.250007603731747
6108,150,3104,6548,4978,2692,5,7.28,7.57,7.537734781376014
3551,915,1748,1816,3637,2208,2660,22.87,17.49,17.388448798468122
6674,727,2516,5156,2333,844,4239,18.66,15.43,15.852151490387177
6423,451,208,3124,6395,4591,6615,7.78,7.33,7.444251682552003
3511,4074,2835,5811,6371,2033,4636,14.43,12.29,12.654772200326882
6042,542,3481,5307,1891,784,6231,14.0,10.79,10.841106926807326
3284,4176,3055,7044,4591,3025,1139,8.74,8.37,8.479412789117715
5468,2378,1401,5674,6908,2121,240,15.8,12.32,12.821841700090072
413,6632,1415,2154,1345,985,4968,11.07,9.89,9.891849369157313
1215,97,399,498,3689,1708,6443,16.3,13.97,14.026760123113792
3185,2410,5009,121,6542,2904,2334,9.35,8.32,8.500698451355047
1152,3939,4603,2275,1124,709,6123,14.93,12.28,12.130829715492398
4554,2424,5701,966,537,3440,3697,8.18,7.48,7.613502615143705
1167,5765,4603,6260,6511,3137,4818,7.86,7.71,7.8055542006418746
6576,1385,5432,5861,2245,6321,4892,9.23,9.22,9.221105812129471
4984,4050,2857,812,396,2267,4332,8.49,8.38,8.50611431269347
1051,1419,6540,5158,6720,690,1328,20.79,15.59,16.3933109070552
6390,6468,1821,7037,106,1662,1440,8.88,8.21,8.23275296041729
3880,3741,4845,4581,4468,3180,681,10.56,8.79,8.773287059236175
1417,4494,3949,4857,2149,4386,545,10.55,9.67,9.26879148186612
5333,235,4759,4794,3569,4459,2529,10.42,8.92,9.16281369474316
4288,4317,4400,5256,6521,537,5265,9.14,8.64,8.756720213926197
4701,4441,2460,526,5938,1837,5903,7.46,7.49,7.362121562890057
1126,845,816,5730,4027,3715,495,17.58,13.02,13.34233854183862
4015,5216,5959,433,5560,4939,239,10.03,9.45,9.568694355857394
3056,1995,3757,1893,3041,6743,5976,8.63,8.05,7.94089041446564
4695,5119,4062,1991,294,5099,4890,10.54,8.96,9.267281780496893
693,5023,384,5554,3356,3331,4821,12.72,11.18,10.94961545807636
564,661,1549,279,4981,6165,1485,11.45,10.14,10.35823923752458
691,531,244,2906,5116,3852,4481,12.97,9.72,9.779201850737788
4387,3888,212,5763,6353,616,2734,12.35,10.74,10.834445984384274
693,6412,2633,70,3799,3679,4835,10.7,9.67,10.127831042370316
1217,3162,3917,6822,1129,870,2857,8.89,8.37,8.475323755694347
5498,1894,3698,6389,1060,1574,1811,8.71,8.97,8.734616884507547
891,906,431,983,611,5286,676,14.17,11.69,11.920850378543225
