n0,n1,n2,n3,n4,n5,n6,n7,n8,monte_carlo,monte_carlo_max_hop,two_hop
7070,6955,463,750,695,2957,6844,1385,6029,14.95,12.71,12.77356732542756
6627,5486,6994,2524,2060,4963,1738,4970,292,9.45,9.44,9.50177773340517
4761,5580,1297,3528,5230,3223,6583,5922,7047,11.92,12.52,11.838990849302819
4170,3047,4457,3644,4112,2197,294,224,2982,11.08,10.28,10.245620629222246
3808,2608,3113,3470,4306,1347,4591,1453,1934,17.04,14.76,14.319256167681226
1889,195,1447,2663,1422,1119,4179,4179,2946,9.26,9.11,10.13164109938721
4208,5525,4586,1489,3650,6527,3396,6016,4303,16.76,15.43,15.61441880877356
6249,2983,6469,4861,2898,2964,7036,3651,1320,10.68,10.21,10.105352944335174
6176,3275,5858,6050,3779,5365,4344,2047,4014,10.34,10.56,10.533863474183867
2286,4080,4102,4222,6811,6522,2899,5420,3724,10.57,10.41,10.564357256045014
3776,2873,4650,5946,4567,5929,3740,3986,5397,10.66,10.26,10.331378992432377
1817,2659,6673,5730,6840,1360,5049,2196,6332,10.08,9.85,9.935297665697412
3930,2535,2484,6547,5785,6808,4130,4605,4241,19.09,16.35,16.13435392015027
4156,5336,5044,4816,3331,2554,5987,1702,4005,9.24,9.31,9.218007084721354
4193,3003,5605,5105,617,6424,6720,2797,5946,13.6,12.16,12.114954072669605
68,6676,1567,6101,869,481,4705,5348,400,10.19,9.97,10.018533297813631
2237,4847,1856,5590,870,6179,4279,1118,6995,23.31,15.91,16.13464054629395
2177,2005,6756,1724,494,3464,5873,6221,261,11.12,9.78,9.946935721641998
465,2968,2950,1408,2043,5511,192,679,943,11.76,11.45,11.586975989714569
552,207,334,5975,173,3056,2094,1046,6662,29.01,20.15,20.19608324253027
1287,6019,1505,4285,5664,15,3158,4828,353,26.13,20.99,20.785702744026928
6505,2030,1240,297,34,2819,5040,5142,6082,28.45,20.96,21.7333911140245
6124,926,2343,2762,4003,252,2526,3675,4517,13.66,12.31,12.197981805061636
6274,4957,6061,374,2162,6190,3291,7065,5092,12.17,11.86,11.498614669989971
5778,1257,3873,1847,765,5413,5631,2591,6868,11.55,11.06,10.948261913433772
835,198,3668,6458,1044,4245,4791,6398,3219,17.28,15.11,15.33191284122401
3988,4217,2686,1178,2793,2122,2144,4964,3438,17.53,13.91,13.415240796275306
5351,147,5730,4570,1151,5493,465,2072,274,16.84,14.67,15.056770263145944
1078,1320,1398,785,3714,5202,1897,4163,5800,47.25,37.16,37.95023608603531
257,2021,1904,5848,3642,602,2054,658,4843,17.11,13.81,13.636245750380747
1869,5113,6484,6555,5111,5812,2947,2102,5607,10.63,9.77,9.802411462101409
3465,2283,4310,6149,39,1237,290,3151,3348,12.3,10.81,10.949312214690945
1312,910,4194,5929,719,1973,834,817,162,12.28,11.72,11.721483954307544
1488,6148,1896,861,1780,200,4265,5484,3804,9.28,9.53,9.465839580954723
3718,2537,4387,5257,3112,1740,5608,6230,1721,25.19,19.25,19.547382340605452
5971,6603,3553,3486,4190,174,4760,4844,419,10.38,10.17,10.29676995688019
3424,4301,4762,1484,768,5433,6575,3930,2999,16.05,15.19,15.213871205409932
159,4253,971,5001,3002,2372,5655,3049,2525,11.36,11.03,10.691284859232734
156,5614,3377,828,860,2506,1625,6886,6351,14.42,12.32,12.33848952567253
