n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
6499,4700,6733,660,3973,1617.76,42.54,44.88000000000006
6244,2143,301,3,1192,1332.98,17.9,17.81999999999999
5429,4804,3852,6223,6019,1254.02,31.54,31.519999999999968
3056,2616,6308,179,2233,1369.4,22.15,22.180000000000014
4004,6569,1622,5978,3391,1648.53,54.97,58.079999999999906
4409,4417,5587,771,1580,1646.2,59.45,67.25000000000004
4615,4535,5730,6595,5971,926.78,13.28,14.240000000000018
2175,5430,6581,4997,5617,1237.07,28.17,31.119999999999937
721,6916,3479,2749,762,1646.47,67.05,70.86000000000013
2966,6555,3358,6592,2051,430.68,6.95,6.75
3647,5731,768,6189,1615,1646.55,110.29,124.13999999999994
5740,5201,6524,2385,799,1654.75,157.28,176.08999999999975
374,4821,1645,6782,5369,1649.72,50.55,49.10000000000005
2952,3987,6821,1586,4216,1654.94,88.2,92.70000000000003
4717,5280,5717,6598,4126,451.79,9.45,8.880000000000008
232,5189,2960,2006,4929,730.48,10.66,11.039999999999992
3520,2493,2927,4826,979,1277.06,22.06,21.640000000000004
734,4097,5559,4302,1631,1646.64,151.8,161.35999999999993
957,4982,5429,2194,2558,1175.74,13.83,12.929999999999996
5890,1607,3111,3962,1824,1259.27,17.66,20.680000000000067
1131,4893,1719,6832,7090,1525.28,38.63,37.86000000000005
5719,4277,102,1546,6373,1632.5,86.73,87.65000000000003
1385,139,5308,2727,4569,1648.58,56.56,51.830000000000034
5499,5081,5067,2507,3068,813.43,14.06,13.490000000000009
3091,4320,3188,2368,1039,1644.61,90.23,86.26000000000003
5560,4003,440,1518,3464,548.77,8.49,8.499999999999996
4865,6113,3258,786,3614,1650.0,86.45,86.30999999999996
2009,6600,729,4941,5490,563.58,9.28,9.619999999999997
3654,3663,6421,6809,3113,1568.28,30.81,30.45000000000001
6521,626,4232,3493,3857,1636.48,49.85,52.860000000000035
2485,5780,6689,3351,703,120.13,5.6,5.630000000000001
1574,6115,5572,2177,3697,896.46,12.25,12.49
3994,5919,6422,1410,151,1242.31,24.11,22.78000000000001
179,4406,1011,2057,4828,1644.71,98.1,106.81000000000006
6568,2957,1536,2099,4118,1534.11,44.41,44.38000000000015
3698,2698,4234,2087,3363,597.84,8.12,8.339999999999996
3454,5014,3976,2194,4935,1093.94,12.86,13.999999999999991
3888,5376,3920,4030,1164,1554.86,39.63,39.8600000000001
5908,3092,4068,2504,5197,1206.52,15.01,15.440000000000003
6592,3827,2649,3002,5400,601.84,9.85,9.319999999999993
1335,5074,3080,5688,4940,1518.24,34.88,36.40000000000003
2177,2622,5292,3262,3997,899.28,12.37,12.319999999999993
5974,6499,1295,6780,2382,1188.31,15.55,15.930000000000001
4586,50,5110,3681,467,1627.57,61.65,65.77000000000011
1495,246,4996,6337,4667,1536.96,40.16,37.43000000000003
918,5587,5886,3038,2965,1123.48,18.12,21.04000000000002
4075,6991,4831,510,1578,1597.64,46.59,47.60000000000007
1264,2205,5025,121,3457,1613.2,41.97,41.46000000000004
6604,6408,6554,6664,4299,1539.49,31.5,31.93000000000001
4027,621,3841,1901,820,1383.98,21.63,22.359999999999992
3038,2965,1187,5578,5124,1616.51,58.24,59.12000000000014
1993,4969,2607,1181,308,331.83,7.16,7.499999999999998
5144,5473,797,5848,863,1375.62,29.91,32.570000000000036
370,5288,3914,3790,5931,499.47,7.61,7.209999999999997
565,5154,252,5745,4517,1650.84,73.27,78.49999999999999
1040,5051,6821,684,1319,1357.37,25.1,24.83000000000004
5063,5170,2172,6868,5359,1217.17,17.91,18.67
3702,4093,5683,166,6482,1239.4,20.2,21.470000000000027
5221,1122,6703,1546,3611,1650.25,53.61,57.51000000000006
3925,6377,3600,3662,4575,450.15,7.62,7.289999999999999
2264,3911,5836,4745,521,1168.12,24.43,23.72
6811,6555,2390,2977,2343,1076.84,21.41,21.040000000000035
2950,277,685,4115,7029,1288.54,17.11,16.449999999999992
2259,2292,2245,3875,3528,1352.23,18.85,17.94999999999999
