n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
3792,5023,3058,2188,1134,5.162,5.105,5.106921980473223
1524,7098,5543,52,2771,6.326,6.039,5.935029848578911
4118,3798,4953,662,2736,8.008,7.013,6.952598147912416
4540,5051,5735,335,5965,5.315,5.35,5.319812224135144
3104,1387,5762,3702,5939,5.142,5.108,5.118206247074271
3461,1287,1379,1949,420,14.938,12.945,12.83784722349857
908,1084,4147,4836,518,5.196,5.191,5.1817273349686435
6342,5639,3142,6468,6112,5.135,5.109,5.1069536051314754
832,2385,1679,5523,1837,7.691,6.897,6.748462019590421
5944,6496,3455,718,6328,5.518,5.328,5.3059575721819145
2185,1719,3248,2303,2798,11.88,10.257,10.342613739980807
6631,353,1634,5806,43,14.155,11.104,11.168228337662512
3368,448,3103,6928,4028,5.862,5.588,5.6652402782640685
1139,192,1939,3479,6031,5.615,5.478,5.498557812129279
6969,917,4889,31,993,31.103,22.259,22.158437672112694
6261,4740,1619,6981,1663,11.017,8.769,8.839109880605925
2705,67,684,1091,4421,8.264,7.591,7.605543395952409
143,4102,694,4693,4069,11.616,9.481,9.485913211323304
4403,1623,3441,563,3261,5.852,5.569,5.6088303524360175
1574,5232,6266,765,5741,5.556,5.449,5.479117688419412
4749,1190,1413,4988,5895,6.2,5.904,5.881288379572974
337,443,2211,4547,5596,7.337,6.727,6.748314440128505
4967,6979,1223,6104,2198,6.5,6.173,6.144859443794323
6036,4712,280,993,5779,7.992,7.147,7.113376808643913
3296,1939,1324,5006,4136,6.739,6.559,6.630690863714652
352,6029,2997,6927,5522,5.277,5.122,5.1390398969830775
4276,4835,4630,6345,5633,5.219,5.167,5.185537500329534
710,7105,2844,900,7078,8.006,7.117,7.128650933249104
4785,2994,3697,1720,3294,5.795,5.595,5.621008525915347
1628,4705,6108,150,3104,6.042,5.831,5.772550463888072
6548,4978,2692,5,3551,5.576,5.388,5.400894804700318
915,1748,1816,3637,2208,22.142,15.321,15.366352773687534
2660,6674,727,2516,5156,5.383,5.208,5.235571380758848
2333,844,4239,6423,451,16.38,13.588,13.69931233305492
208,3124,6395,4591,6615,5.413,5.361,5.3771838852386304
3511,4074,2835,5811,6371,7.12,6.252,6.289382795456983
2033,4636,6042,542,3481,13.076,10.572,10.6393532837637
5307,1891,784,6231,3284,9.184,7.62,7.645169086800257
4176,3055,7044,4591,3025,7.028,6.348,6.339823174940883
1139,5468,2378,1401,5674,9.319,7.926,7.950418090744147
6908,2121,240,413,6632,9.896,8.357,8.239963647711752
1415,2154,1345,985,4968,7.846,7.569,7.585511282930194
1215,97,399,498,3689,12.998,9.785,9.810671769110169
1708,6443,3185,2410,5009,7.83,7.25,7.304920932020197
121,6542,2904,2334,1152,11.436,9.581,9.442643634747299
3939,4603,2275,1124,709,8.156,7.123,7.1006238211808865
6123,4554,2424,5701,966,5.598,5.449,5.494640037075186
537,3440,3697,1167,5765,5.246,5.195,5.2065812984139335
4603,6260,6511,3137,4818,6.014,5.784,5.738357260182438
6576,1385,5432,5861,2245,7.763,7.102,7.143843284102777
6321,4892,4984,4050,2857,6.31,6.274,6.273340959399244
812,396,2267,4332,1051,6.268,5.665,5.656598413578292
1419,6540,5158,6720,690,17.64,14.103,13.701540953466976
1328,6390,6468,1821,7037,6.183,5.688,5.694762792472548
106,1662,1440,3880,3741,6.798,6.053,6.059274930477989
4845,4581,4468,3180,681,7.36,6.541,6.615104982971948
1417,4494,3949,4857,2149,6.263,5.925,5.9859605329517365
4386,545,5333,235,4759,9.656,8.381,8.26266819461064
4794,3569,4459,2529,4288,5.514,5.334,5.363697072193552
4317,4400,5256,6521,537,6.602,6.512,6.561099863357957
5265,4701,4441,2460,526,5.275,5.147,5.146687077685137
5938,1837,5903,1126,845,5.327,5.201,5.230532193109918
816,5730,4027,3715,495,13.672,11.438,11.343749707121395
4015,5216,5959,433,5560,7.768,7.184,7.278132091821479
4939,239,3056,1995,3757,5.652,5.446,5.451193689762995
1893,3041,6743,5976,4695,6.351,5.902,5.859247004945868
5119,4062,1991,294,5099,8.262,7.252,7.163293764289586
4890,693,5023,384,5554,8.694,7.382,7.447835518037914
3356,3331,4821,564,661,10.093,8.51,8.424129346720052
1549,279,4981,6165,1485,7.136,6.47,6.4632505862928085
