n0,n1,n2,n3,n4,monte_carlo,monte_carlo_max_hop,two_hop
5102,2092,6076,2937,6514,2269.33,596.11,1155.919999999999
5656,6893,6061,5341,4342,2268.23,408.27,562.0399999999995
237,6884,3814,6356,2040,2266.28,374.83,480.67999999999915
5316,424,1284,927,3045,2265.4,513.48,655.1599999999993
3842,7114,2019,3119,4454,2268.16,397.88,499.8800000000054
835,4701,2042,107,5989,2266.02,688.91,891.0799999999997
1775,3343,2289,1491,7106,2267.32,768.31,1134.199999999999
6272,3190,1307,6241,6530,2154.97,90.43,90.55999999999975
589,1136,5062,5058,3644,2266.0,838.35,1349.119999999998
1037,1083,14,43,1715,2263.18,1077.65,2001.5600000000006
6337,1765,1358,1363,2369,2268.4,491.1,558.4399999999987
2569,1629,4417,5552,5125,2266.84,264.78,342.79999999999967
1677,1488,5657,1612,3139,2264.43,1236.56,3871.999999999997
2447,176,2958,3398,1359,2267.08,376.3,454.4
1193,2161,533,2718,2468,2267.63,1116.91,2931.319999999995
6696,4940,4801,27,4882,2267.42,588.37,907.8799999999984
5553,5797,2768,540,2539,2267.19,742.54,1234.639999999999
2911,6705,2507,3938,5705,2268.59,439.71,490.2800000000005
2586,1513,3942,3871,5772,2267.47,888.15,1409.4799999999977
1442,466,2098,187,6142,2265.16,569.79,759.3199999999988
2929,6921,3311,148,4497,2266.58,354.27,383.60000000000537
6453,3431,2999,3083,4739,2267.24,933.9,1654.7600000000002
6891,74,3709,382,5797,2267.34,895.73,1783.6400000000024
1482,5109,1609,975,6190,2266.54,862.98,1380.079999999997
2015,6713,3786,2821,4198,2244.55,56.67,59.72000000000001
2906,4298,2055,6353,3791,2268.18,252.23,282.4399999999989
885,4831,6130,6397,6530,2268.41,744.44,1088.359999999999
3008,7042,2423,300,3546,1859.98,33.56,33.80000000000003
746,1707,2791,4201,5003,2265.6,1252.2,4578.800000000003
2970,1214,2784,2258,5755,2266.73,921.36,1702.1599999999992
4465,754,2559,5619,2595,2267.11,193.21,198.31999999999982
2508,1453,6543,640,5134,2268.47,373.24,385.63999999999874
1219,5907,5645,2533,3963,2267.43,487.35,615.9200000000002
1323,5899,397,663,4920,2266.77,280.68,294.43999999999977
4370,3325,260,1944,6066,2267.6,162.84,165.91999999999976
4865,2816,6769,2049,3732,2267.44,428.02,572.599999999998
5332,3455,1192,456,5229,2267.44,959.58,2491.639999999994
268,6567,4043,2737,6868,2244.82,165.63,172.51999999999958
1696,1069,5993,4620,1087,2266.63,875.77,1643.0000000000018
5164,6455,3390,873,1382,2266.56,417.85,540.3199999999995
3559,3055,1222,481,6920,2267.17,452.74,640.4000000000002
3445,2415,1156,3712,5082,2266.96,1083.14,2456.0000000000086
6981,1386,4277,3715,3998,2267.44,1344.9,4670.240000000005
5642,5976,2602,3924,2244,2154.68,127.06,132.55999999999972
2384,3850,3307,1200,922,2265.56,1560.54,5741.119999999994
3088,6734,4356,1469,5136,2267.33,334.99,395.11999999999955
4090,7109,2772,1475,730,2266.51,182.2,198.31999999999957
4029,2230,4220,6406,4490,2245.45,117.57,115.51999999999998
7105,4119,2959,516,6439,2268.38,235.61,310.0399999999995
6513,6347,2913,5690,4812,2267.77,768.14,1334.7199999999982
5439,281,6222,2504,2977,2266.04,357.56,460.0400000000002
4581,5771,5474,2300,6842,2267.92,512.09,745.5199999999993
3978,2169,6305,5659,5865,2267.88,435.73,582.5599999999981
2407,2785,5322,1463,4756,2268.12,1042.73,2521.9999999999945
6978,94,3885,4480,6338,2268.69,791.3,1514.8399999999974
2053,2669,5502,2242,3792,2266.76,250.96,286.75999999999954
2366,6690,4098,5303,5518,2178.44,54.05,58.64000000000002
6534,2921,2849,2243,5276,2268.5,791.74,1245.3199999999983
2831,6044,6784,3346,2867,2268.65,335.38,439.99999999999915
6904,1412,7102,5638,3684,2268.07,316.26,414.1999999999987
2984,2738,4244,1162,4336,2267.91,627.38,869.3600000000042
1361,1627,6853,2965,6994,2267.67,769.46,1372.5199999999995
3909,2317,5664,645,5895,2266.67,289.38,306.31999999999925
5495,5983,3413,1407,5052,2266.74,455.28,679.9999999999997
6392,4758,4230,5452,3447,2268.93,113.76,120.43999999999993
2479,5109,4531,6346,7103,1838.22,90.26,104.47999999999959
5217,2217,5901,226,1602,2267.03,1025.29,1798.6399999999976
1310,4804,3613,5112,5325,2268.4,279.24,375.19999999999965
1480,1794,6217,5619,1478,2267.45,713.5,1443.6799999999976
5168,5885,342,3863,1853,2268.03,1125.66,3105.0799999999913
1357,443,1093,907,2599,2267.39,1310.76,2467.280000000005
1487,3953,1584,4491,292,2267.54,940.34,1655.4800000000002
3403,3811,2876,3115,5427,2267.07,186.8,203.35999999999973
5011,589,4834,1674,1948,2266.22,859.5,1470.199999999998
5881,3063,5,2871,3320,2268.2,741.45,1269.5599999999993
2281,7011,3359,7097,942,2267.6,892.25,2160.1999999999953
5643,6810,4483,3062,295,2268.1,461.26,590.3599999999993
4505,5026,2468,776,2418,2267.48,1186.49,3165.08
4466,4199,2780,4758,2401,2269.06,907.02,1502.0
2880,6705,1058,3433,3352,2267.62,1120.23,2350.760000000002
6660,4619,5261,4410,3026,2269.06,540.99,637.1600000000001
3829,1164,1284,4881,3135,2267.13,1077.97,2247.7999999999984
4619,3907,1631,1089,4985,2267.07,1413.08,4579.040000000004
744,2876,6727,5420,7,2266.47,1073.35,1996.8799999999997
3128,884,2670,4635,5039,2266.53,336.03,406.7599999999998
4418,1152,2666,5156,4622,2267.02,1167.28,2742.2000000000035
3078,3516,3536,1854,4042,2269.31,1337.85,2800.2800000000043
2387,3928,5802,3111,3144,2266.93,449.95,572.480000000001
7003,1302,4880,4865,2128,2268.64,369.77,428.59999999999854
6070,2464,4065,2056,3403,2265.37,249.26,285.7999999999996
161,2614,2518,4028,2346,2222.27,106.83,107.60000000000005
1173,3907,194,998,5407,2267.32,1786.97,8865.200000000006
5092,3632,2011,2401,327,2152.4,147.1,148.87999999999965
6403,1117,6773,3214,108,2268.99,1185.44,2400.0799999999995
3934,4362,4590,2242,1994,2269.46,1255.03,4497.919999999996
3885,6405,301,2012,4015,2268.99,746.54,1396.3999999999974
2192,6913,1267,5910,2340,2266.4,140.5,159.68000000000012
2401,4032,4981,3888,4245,2268.85,727.31,1098.56
5282,7073,4946,6090,968,2267.9,208.91,222.79999999999984
132,6229,1032,2463,2312,2265.21,869.98,1344.079999999999
